 kgrid  ValNew  Policy 
    0.85 -32.9908        0
0.850015 -32.9896        0
 0.85003 -32.9885        0
0.850045 -32.9873        0
 0.85006 -32.9861        0
0.850075  -32.985        0
 0.85009 -32.9838        0
0.850105 -32.9827        0
 0.85012 -32.9815        0
0.850135 -32.9804        0
 0.85015 -32.9792        0
0.850165 -32.9781        0
 0.85018 -32.9769        0
0.850195 -32.9758        0
 0.85021 -32.9746        0
0.850225 -32.9735        0
 0.85024 -32.9723        0
0.850255 -32.9712        0
 0.85027   -32.97        0
0.850285 -32.9688        0
  0.8503 -32.9677        0
0.850315 -32.9665        0
 0.85033 -32.9654        0
0.850345 -32.9642        0
 0.85036 -32.9631        0
0.850375 -32.9619        0
 0.85039 -32.9608        0
0.850405 -32.9596        0
 0.85042 -32.9585        0
0.850435 -32.9573        0
 0.85045 -32.9562        0
0.850465  -32.955        0
 0.85048 -32.9539        0
0.850495 -32.9527        0
 0.85051 -32.9516        0
0.850525 -32.9504        0
 0.85054 -32.9493        0
0.850555 -32.9481        0
 0.85057  -32.947        0
0.850585 -32.9458        0
  0.8506 -32.9446        0
0.850615 -32.9435        0
 0.85063 -32.9423        0
0.850645 -32.9412        0
 0.85066   -32.94        0
0.850675 -32.9389        0
 0.85069 -32.9377        0
0.850705 -32.9366        0
 0.85072 -32.9354        0
0.850735 -32.9343        0
 0.85075 -32.9331        0
0.850765  -32.932        0
 0.85078 -32.9308        0
0.850795 -32.9297        0
 0.85081 -32.9285        0
0.850825 -32.9274        0
 0.85084 -32.9262        0
0.850855 -32.9251        0
 0.85087 -32.9239        0
0.850885 -32.9228        0
  0.8509 -32.9216        0
0.850915 -32.9205        0
 0.85093 -32.9193        0
0.850945 -32.9182        0
 0.85096  -32.917        0
0.850975 -32.9159        0
 0.85099 -32.9147        0
0.851005 -32.9136        0
 0.85102 -32.9124        0
0.851035 -32.9113        0
 0.85105 -32.9101        0
0.851065  -32.909        0
 0.85108 -32.9078        0
0.851095 -32.9067        0
 0.85111 -32.9055        0
0.851125 -32.9044        0
 0.85114 -32.9032        0
0.851155 -32.9021        0
 0.85117 -32.9009        0
0.851185 -32.8998        0
  0.8512 -32.8986        0
0.851215 -32.8975        0
 0.85123 -32.8963        0
0.851245 -32.8952        0
 0.85126  -32.894        0
0.851275 -32.8929        0
 0.85129 -32.8917        0
0.851305 -32.8906        0
 0.85132 -32.8894        0
0.851335 -32.8883        0
 0.85135 -32.8871        0
0.851365  -32.886        0
 0.85138 -32.8848        0
0.851395 -32.8837        0
 0.85141 -32.8825        0
0.851425 -32.8814        0
 0.85144 -32.8803        0
0.851455 -32.8791        0
 0.85147  -32.878        0
0.851485 -32.8768        0
  0.8515 -32.8757        0
0.851515 -32.8745        0
 0.85153 -32.8734        0
0.851545 -32.8722        0
 0.85156 -32.8711        0
0.851575 -32.8699        0
 0.85159 -32.8688        0
0.851605 -32.8676        0
 0.85162 -32.8665        0
0.851635 -32.8653        0
 0.85165 -32.8642        0
0.851665  -32.863        0
 0.85168 -32.8619        0
0.851695 -32.8607        0
 0.85171 -32.8596        0
0.851725 -32.8584        0
 0.85174 -32.8573        0
0.851755 -32.8562        0
 0.85177  -32.855        0
0.851785 -32.8539        0
  0.8518 -32.8527        0
0.851815 -32.8516        0
 0.85183 -32.8504        0
0.851845 -32.8493        0
 0.85186 -32.8481        0
0.851875  -32.847        0
 0.85189 -32.8458        0
0.851905 -32.8447        0
 0.85192 -32.8435        0
0.851935 -32.8424        0
 0.85195 -32.8413        0
0.851965 -32.8401        0
 0.85198  -32.839        0
0.851995 -32.8378        0
 0.85201 -32.8367        0
0.852025 -32.8355        0
 0.85204 -32.8344        0
0.852055 -32.8332        0
 0.85207 -32.8321        0
0.852085 -32.8309        0
  0.8521 -32.8298        0
0.852115 -32.8286        0
 0.85213 -32.8275        0
0.852145 -32.8264        0
 0.85216 -32.8252        0
0.852175 -32.8241        0
 0.85219 -32.8229        0
0.852205 -32.8218        0
 0.85222 -32.8206        0
0.852235 -32.8195        0
 0.85225 -32.8183        0
0.852265 -32.8172        0
 0.85228 -32.8161        0
0.852295 -32.8149        0
 0.85231 -32.8138        0
0.852325 -32.8126        0
 0.85234 -32.8115        0
0.852355 -32.8103        0
 0.85237 -32.8092        0
0.852385  -32.808        0
  0.8524 -32.8069        0
0.852415 -32.8058        0
 0.85243 -32.8046        0
0.852445 -32.8035        0
 0.85246 -32.8023        0
0.852475 -32.8012        0
 0.85249    -32.8        0
0.852505 -32.7989        0
 0.85252 -32.7977        0
0.852535 -32.7966        0
 0.85255 -32.7955        0
0.852565 -32.7943        0
 0.85258 -32.7932        0
0.852595  -32.792        0
 0.85261 -32.7909        0
0.852625 -32.7897        0
 0.85264 -32.7886        0
0.852655 -32.7875        0
 0.85267 -32.7863        0
0.852685 -32.7852        0
  0.8527  -32.784        0
0.852715 -32.7829        0
 0.85273 -32.7817        0
0.852745 -32.7806        0
 0.85276 -32.7795        0
0.852775 -32.7783        0
 0.85279 -32.7772        0
0.852805  -32.776        0
 0.85282 -32.7749        0
0.852835 -32.7737        0
 0.85285 -32.7726        0
0.852865 -32.7715        0
 0.85288 -32.7703        0
0.852895 -32.7692        0
 0.85291  -32.768        0
0.852925 -32.7669        0
 0.85294 -32.7658        0
0.852955 -32.7646        0
 0.85297 -32.7635        0
0.852985 -32.7623        0
   0.853 -32.7612        0
0.853015   -32.76        0
 0.85303 -32.7589        0
0.853045 -32.7578        0
 0.85306 -32.7566        0
0.853075 -32.7555        0
 0.85309 -32.7543        0
0.853105 -32.7532        0
 0.85312 -32.7521        0
0.853135 -32.7509        0
 0.85315 -32.7498        0
0.853165 -32.7486        0
 0.85318 -32.7475        0
0.853195 -32.7463        0
 0.85321 -32.7452        0
0.853225 -32.7441        0
 0.85324 -32.7429        0
0.853255 -32.7418        0
 0.85327 -32.7406        0
0.853285 -32.7395        0
  0.8533 -32.7384        0
0.853315 -32.7372        0
 0.85333 -32.7361        0
0.853345 -32.7349        0
 0.85336 -32.7338        0
0.853375 -32.7327        0
 0.85339 -32.7315        0
0.853405 -32.7304        0
 0.85342 -32.7292        0
0.853435 -32.7281        0
 0.85345  -32.727        0
0.853465 -32.7258        0
 0.85348 -32.7247        0
0.853495 -32.7235        0
 0.85351 -32.7224        0
0.853525 -32.7213        0
 0.85354 -32.7201        0
0.853555  -32.719        0
 0.85357 -32.7178        0
0.853585 -32.7167        0
  0.8536 -32.7156        0
0.853615 -32.7144        0
 0.85363 -32.7133        0
0.853645 -32.7122        0
 0.85366  -32.711        0
0.853675 -32.7099        0
 0.85369 -32.7087        0
0.853705 -32.7076        0
 0.85372 -32.7065        0
0.853735 -32.7053        0
 0.85375 -32.7042        0
0.853765  -32.703        0
 0.85378 -32.7019        0
0.853795 -32.7008        0
 0.85381 -32.6996        0
0.853825 -32.6985        0
 0.85384 -32.6974        0
0.853855 -32.6962        0
 0.85387 -32.6951        0
0.853885 -32.6939        0
  0.8539 -32.6928        0
0.853915 -32.6917        0
 0.85393 -32.6905        0
