 kgrid  ValNew  Policy 
    0.85 -13.1925 0.863325
0.850008 -13.1919 0.863334
0.850017 -13.1913 0.863334
0.850025 -13.1906 0.863342
0.850033   -13.19 0.863342
0.850042 -13.1894  0.86335
 0.85005 -13.1888  0.86335
0.850058 -13.1882 0.863359
0.850067 -13.1876 0.863359
0.850075  -13.187 0.863367
0.850083 -13.1864 0.863367
0.850092 -13.1858 0.863375
  0.8501 -13.1852 0.863384
0.850108 -13.1846 0.863384
0.850117  -13.184 0.863392
0.850125 -13.1834 0.863392
0.850133 -13.1828   0.8634
0.850142 -13.1822   0.8634
 0.85015 -13.1815 0.863409
0.850158 -13.1809 0.863409
0.850167 -13.1803 0.863417
0.850175 -13.1797 0.863417
0.850183 -13.1791 0.863425
0.850192 -13.1785 0.863425
  0.8502 -13.1779 0.863434
0.850208 -13.1773 0.863434
0.850217 -13.1767 0.863442
0.850225 -13.1761 0.863442
0.850233 -13.1755  0.86345
0.850242 -13.1749 0.863459
 0.85025 -13.1743 0.863459
0.850258 -13.1737 0.863467
0.850267 -13.1731 0.863467
0.850275 -13.1725 0.863475
0.850283 -13.1718 0.863475
0.850292 -13.1712 0.863484
  0.8503 -13.1706 0.863484
0.850308   -13.17 0.863492
0.850317 -13.1694 0.863492
0.850325 -13.1688   0.8635
0.850333 -13.1682   0.8635
0.850342 -13.1676 0.863509
 0.85035  -13.167 0.863509
0.850358 -13.1664 0.863517
0.850367 -13.1658 0.863517
0.850375 -13.1652 0.863525
0.850383 -13.1646 0.863534
0.850392  -13.164 0.863534
  0.8504 -13.1634 0.863542
0.850408 -13.1628 0.863542
0.850417 -13.1622  0.86355
0.850425 -13.1615  0.86355
0.850433 -13.1609 0.863559
0.850442 -13.1603 0.863559
 0.85045 -13.1597 0.863567
0.850458 -13.1591 0.863567
0.850467 -13.1585 0.863575
0.850475 -13.1579 0.863575
0.850483 -13.1573 0.863584
0.850492 -13.1567 0.863584
  0.8505 -13.1561 0.863592
0.850508 -13.1555 0.863592
0.850517 -13.1549   0.8636
0.850525 -13.1543   0.8636
0.850533 -13.1537 0.863609
0.850542 -13.1531 0.863617
 0.85055 -13.1525 0.863617
0.850558 -13.1519 0.863625
0.850567 -13.1513 0.863625
0.850575 -13.1507 0.863634
0.850583 -13.1501 0.863634
0.850592 -13.1494 0.863642
  0.8506 -13.1488 0.863642
0.850608 -13.1482  0.86365
0.850617 -13.1476  0.86365
0.850625  -13.147 0.863659
0.850633 -13.1464 0.863659
0.850642 -13.1458 0.863667
 0.85065 -13.1452 0.863667
0.850658 -13.1446 0.863675
0.850667  -13.144 0.863675
0.850675 -13.1434 0.863684
0.850683 -13.1428 0.863692
0.850692 -13.1422 0.863692
  0.8507 -13.1416   0.8637
0.850708  -13.141   0.8637
0.850717 -13.1404 0.863709
0.850725 -13.1398 0.863709
0.850733 -13.1392 0.863717
0.850742 -13.1386 0.863717
 0.85075  -13.138 0.863725
0.850758 -13.1374 0.863725
0.850767 -13.1368 0.863734
0.850775 -13.1362 0.863734
0.850783 -13.1355 0.863742
0.850792 -13.1349 0.863742
  0.8508 -13.1343  0.86375
0.850808 -13.1337  0.86375
0.850817 -13.1331 0.863759
0.850825 -13.1325 0.863767
0.850833 -13.1319 0.863767
0.850842 -13.1313 0.863775
 0.85085 -13.1307 0.863775
0.850858 -13.1301 0.863784
0.850867 -13.1295 0.863784
0.850875 -13.1289 0.863792
0.850883 -13.1283 0.863792
0.850892 -13.1277   0.8638
  0.8509 -13.1271   0.8638
0.850908 -13.1265 0.863809
0.850917 -13.1259 0.863809
0.850925 -13.1253 0.863817
0.850933 -13.1247 0.863817
0.850942 -13.1241 0.863825
 0.85095 -13.1235 0.863825
0.850958 -13.1229 0.863834
0.850967 -13.1223 0.863842
0.850975 -13.1217 0.863842
0.850983 -13.1211  0.86385
0.850992 -13.1205  0.86385
   0.851 -13.1199 0.863859
0.851008 -13.1193 0.863859
0.851017 -13.1187 0.863867
0.851025 -13.1181 0.863867
0.851033 -13.1174 0.863875
0.851042 -13.1168 0.863875
 0.85105 -13.1162 0.863884
0.851058 -13.1156 0.863884
0.851067  -13.115 0.863892
0.851075 -13.1144 0.863892
0.851083 -13.1138   0.8639
0.851092 -13.1132   0.8639
  0.8511 -13.1126 0.863909
0.851108  -13.112 0.863909
0.851117 -13.1114 0.863917
0.851125 -13.1108 0.863925
0.851133 -13.1102 0.863925
0.851142 -13.1096 0.863934
 0.85115  -13.109 0.863934
0.851158 -13.1084 0.863942
0.851167 -13.1078 0.863942
0.851175 -13.1072  0.86395
0.851183 -13.1066  0.86395
0.851192  -13.106 0.863959
  0.8512 -13.1054 0.863959
0.851208 -13.1048 0.863967
0.851217 -13.1042 0.863967
0.851225 -13.1036 0.863975
0.851233  -13.103 0.863975
0.851242 -13.1024 0.863984
 0.85125 -13.1018 0.863984
0.851258 -13.1012 0.863992
0.851267 -13.1006    0.864
0.851275    -13.1    0.864
0.851283 -13.0994 0.864009
0.851292 -13.0988 0.864009
  0.8513 -13.0982 0.864017
0.851308 -13.0976 0.864017
0.851317  -13.097 0.864025
0.851325 -13.0964 0.864025
0.851333 -13.0958 0.864034
0.851342 -13.0952 0.864034
 0.85135 -13.0946 0.864042
0.851358  -13.094 0.864042
0.851367 -13.0934  0.86405
0.851375 -13.0928  0.86405
0.851383 -13.0922 0.864059
0.851392 -13.0916 0.864059
  0.8514  -13.091 0.864067
0.851408 -13.0904 0.864075
0.851417 -13.0898 0.864075
0.851425 -13.0892 0.864084
0.851433 -13.0886 0.864084
0.851442  -13.088 0.864092
 0.85145 -13.0874 0.864092
0.851458 -13.0867   0.8641
0.851467 -13.0861   0.8641
0.851475 -13.0855 0.864109
0.851483 -13.0849 0.864109
0.851492 -13.0843 0.864117
  0.8515 -13.0837 0.864117
0.851508 -13.0831 0.864125
0.851517 -13.0825 0.864125
0.851525 -13.0819 0.864134
0.851533 -13.0813 0.864134
0.851542 -13.0807 0.864142
 0.85155 -13.0801 0.864142
0.851558 -13.0795  0.86415
0.851567 -13.0789 0.864159
0.851575 -13.0783 0.864159
0.851583 -13.0777 0.864167
0.851592 -13.0771 0.864167
  0.8516 -13.0765 0.864175
0.851608 -13.0759 0.864175
0.851617 -13.0753 0.864184
0.851625 -13.0747 0.864184
0.851633 -13.0741 0.864192
0.851642 -13.0735 0.864192
 0.85165 -13.0729   0.8642
0.851658 -13.0723   0.8642
0.851667 -13.0717 0.864209
0.851675 -13.0711 0.864209
0.851683 -13.0705 0.864217
0.851692 -13.0699 0.864217
  0.8517 -13.0693 0.864225
0.851708 -13.0687 0.864234
0.851717 -13.0681 0.864234
0.851725 -13.0675 0.864242
0.851733 -13.0669 0.864242
0.851742 -13.0663  0.86425
 0.85175 -13.0657  0.86425
0.851758 -13.0651 0.864259
0.851767 -13.0645 0.864259
0.851775 -13.0639 0.864267
0.851783 -13.0633 0.864267
0.851792 -13.0627 0.864275
  0.8518 -13.0621 0.864275
0.851808 -13.0615 0.864284
0.851817 -13.0609 0.864284
0.851825 -13.0603 0.864292
0.851833 -13.0597 0.864292
0.851842 -13.0591   0.8643
 0.85185 -13.0585 0.864309
0.851858 -13.0579 0.864309
0.851867 -13.0573 0.864317
0.851875 -13.0567 0.864317
0.851883 -13.0561 0.864325
0.851892 -13.0555 0.864325
  0.8519 -13.0549 0.864334
0.851908 -13.0543 0.864334
0.851917 -13.0537 0.864342
0.851925 -13.0531 0.864342
0.851933 -13.0525  0.86435
0.851942 -13.0519  0.86435
 0.85195 -13.0513 0.864359
0.851958 -13.0508 0.864359
0.851967 -13.0502 0.864367
0.851975 -13.0496 0.864367
0.851983  -13.049 0.864375
0.851992 -13.0484 0.864375
   0.852 -13.0478 0.864384
0.852008 -13.0472 0.864392
0.852017 -13.0466 0.864392
0.852025  -13.046   0.8644
0.852033 -13.0454   0.8644
0.852042 -13.0448 0.864409
 0.85205 -13.0442 0.864409
0.852058 -13.0436 0.864417
0.852067  -13.043 0.864417
0.852075 -13.0424 0.864425
0.852083 -13.0418 0.864425
0.852092 -13.0412 0.864434
  0.8521 -13.0406 0.864434
0.852108   -13.04 0.864442
0.852117 -13.0394 0.864442
0.852125 -13.0388  0.86445
0.852133 -13.0382  0.86445
0.852142 -13.0376 0.864459
 0.85215  -13.037 0.864467
0.852158 -13.0364 0.864467
0.852167 -13.0358 0.864475
0.852175 -13.0352 0.864475
0.852183 -13.0346 0.864484
0.852192  -13.034 0.864484
  0.8522 -13.0334 0.864492
0.852208 -13.0328 0.864492
0.852217 -13.0322   0.8645
0.852225 -13.0316   0.8645
0.852233  -13.031 0.864509
0.852242 -13.0304 0.864509
 0.85225 -13.0298 0.864517
0.852258 -13.0292 0.864517
0.852267 -13.0286 0.864525
0.852275  -13.028 0.864525
0.852283 -13.0274 0.864534
0.852292 -13.0268 0.864542
  0.8523 -13.0262 0.864542
0.852308 -13.0256  0.86455
0.852317  -13.025  0.86455
0.852325 -13.0244 0.864559
0.852333 -13.0238 0.864559
0.852342 -13.0232 0.864567
 0.85235 -13.0226 0.864567
0.852358  -13.022 0.864575
0.852367 -13.0214 0.864575
0.852375 -13.0208 0.864584
0.852383 -13.0203 0.864584
0.852392 -13.0197 0.864592
  0.8524 -13.0191 0.864592
0.852408 -13.0185   0.8646
0.852417 -13.0179   0.8646
0.852425 -13.0173 0.864609
0.852433 -13.0167 0.864609
0.852442 -13.0161 0.864617
 0.85245 -13.0155 0.864625
0.852458 -13.0149 0.864625
0.852467 -13.0143 0.864634
0.852475 -13.0137 0.864634
0.852483 -13.0131 0.864642
0.852492 -13.0125 0.864642
  0.8525 -13.0119  0.86465
0.852508 -13.0113  0.86465
0.852517 -13.0107 0.864659
0.852525 -13.0101 0.864659
0.852533 -13.0095 0.864667
0.852542 -13.0089 0.864667
 0.85255 -13.0083 0.864675
0.852558 -13.0077 0.864675
0.852567 -13.0071 0.864684
0.852575 -13.0065 0.864684
0.852583 -13.0059 0.864692
0.852592 -13.0053   0.8647
  0.8526 -13.0047   0.8647
0.852608 -13.0041 0.864709
0.852617 -13.0035 0.864709
0.852625 -13.0029 0.864717
0.852633 -13.0024 0.864717
0.852642 -13.0018 0.864725
 0.85265 -13.0012 0.864725
0.852658 -13.0006 0.864734
0.852667      -13 0.864734
0.852675 -12.9994 0.864742
0.852683 -12.9988 0.864742
0.852692 -12.9982  0.86475
  0.8527 -12.9976  0.86475
0.852708  -12.997 0.864759
0.852717 -12.9964 0.864759
0.852725 -12.9958 0.864767
0.852733 -12.9952 0.864775
0.852742 -12.9946 0.864775
 0.85275  -12.994 0.864784
0.852758 -12.9934 0.864784
0.852767 -12.9928 0.864792
0.852775 -12.9922 0.864792
0.852783 -12.9916   0.8648
0.852792  -12.991   0.8648
  0.8528 -12.9904 0.864809
0.852808 -12.9898 0.864809
0.852817 -12.9892 0.864817
0.852825 -12.9887 0.864817
0.852833 -12.9881 0.864825
0.852842 -12.9875 0.864825
 0.85285 -12.9869 0.864834
0.852858 -12.9863 0.864834
0.852867 -12.9857 0.864842
0.852875 -12.9851 0.864842
0.852883 -12.9845  0.86485
0.852892 -12.9839 0.864859
  0.8529 -12.9833 0.864859
0.852908 -12.9827 0.864867
0.852917 -12.9821 0.864867
0.852925 -12.9815 0.864875
0.852933 -12.9809 0.864875
0.852942 -12.9803 0.864884
 0.85295 -12.9797 0.864884
0.852958 -12.9791 0.864892
0.852967 -12.9785 0.864892
0.852975 -12.9779   0.8649
0.852983 -12.9773   0.8649
0.852992 -12.9768 0.864909
   0.853 -12.9762 0.864909
0.853008 -12.9756 0.864917
0.853017  -12.975 0.864917
0.853025 -12.9744 0.864925
0.853033 -12.9738 0.864934
0.853042 -12.9732 0.864934
 0.85305 -12.9726 0.864942
0.853058  -12.972 0.864942
0.853067 -12.9714  0.86495
0.853075 -12.9708  0.86495
0.853083 -12.9702 0.864959
0.853092 -12.9696 0.864959
  0.8531  -12.969 0.864967
0.853108 -12.9684 0.864967
0.853117 -12.9678 0.864975
0.853125 -12.9672 0.864975
0.853133 -12.9666 0.864984
0.853142 -12.9661 0.864984
 0.85315 -12.9655 0.864992
0.853158 -12.9649 0.864992
0.853167 -12.9643    0.865
0.853175 -12.9637 0.865009
0.853183 -12.9631 0.865009
0.853192 -12.9625 0.865017
  0.8532 -12.9619 0.865017
0.853208 -12.9613 0.865025
0.853217 -12.9607 0.865025
0.853225 -12.9601 0.865034
0.853233 -12.9595 0.865034
0.853242 -12.9589 0.865042
 0.85325 -12.9583 0.865042
0.853258 -12.9577  0.86505
0.853267 -12.9571  0.86505
0.853275 -12.9566 0.865059
0.853283  -12.956 0.865059
0.853292 -12.9554 0.865067
  0.8533 -12.9548 0.865067
0.853308 -12.9542 0.865075
0.853317 -12.9536 0.865084
0.853325  -12.953 0.865084
0.853333 -12.9524 0.865092
0.853342 -12.9518 0.865092
 0.85335 -12.9512   0.8651
0.853358 -12.9506   0.8651
0.853367   -12.95 0.865109
0.853375 -12.9494 0.865109
0.853383 -12.9488 0.865117
0.853392 -12.9483 0.865117
  0.8534 -12.9477 0.865125
0.853408 -12.9471 0.865125
0.853417 -12.9465 0.865134
0.853425 -12.9459 0.865134
0.853433 -12.9453 0.865142
0.853442 -12.9447 0.865142
 0.85345 -12.9441  0.86515
0.853458 -12.9435  0.86515
0.853467 -12.9429 0.865159
0.853475 -12.9423 0.865167
0.853483 -12.9417 0.865167
0.853492 -12.9411 0.865175
  0.8535 -12.9405 0.865175
0.853508   -12.94 0.865184
0.853517 -12.9394 0.865184
0.853525 -12.9388 0.865192
0.853533 -12.9382 0.865192
0.853542 -12.9376   0.8652
 0.85355  -12.937   0.8652
0.853558 -12.9364 0.865209
0.853567 -12.9358 0.865209
0.853575 -12.9352 0.865217
0.853583 -12.9346 0.865217
0.853592  -12.934 0.865225
  0.8536 -12.9334 0.865225
0.853608 -12.9328 0.865234
0.853617 -12.9323 0.865242
0.853625 -12.9317 0.865242
0.853633 -12.9311  0.86525
0.853642 -12.9305  0.86525
 0.85365 -12.9299 0.865259
0.853658 -12.9293 0.865259
0.853667 -12.9287 0.865267
0.853675 -12.9281 0.865267
0.853683 -12.9275 0.865275
0.853692 -12.9269 0.865275
  0.8537 -12.9263 0.865284
0.853708 -12.9257 0.865284
0.853717 -12.9252 0.865292
0.853725 -12.9246 0.865292
0.853733  -12.924   0.8653
0.853742 -12.9234   0.8653
 0.85375 -12.9228 0.865309
0.853758 -12.9222 0.865317
0.853767 -12.9216 0.865317
0.853775  -12.921 0.865325
0.853783 -12.9204 0.865325
0.853792 -12.9198 0.865334
  0.8538 -12.9192 0.865334
0.853808 -12.9186 0.865342
0.853817 -12.9181 0.865342
0.853825 -12.9175  0.86535
0.853833 -12.9169  0.86535
0.853842 -12.9163 0.865359
 0.85385 -12.9157 0.865359
0.853858 -12.9151 0.865367
0.853867 -12.9145 0.865367
0.853875 -12.9139 0.865375
0.853883 -12.9133 0.865375
0.853892 -12.9127 0.865384
  0.8539 -12.9121 0.865384
0.853908 -12.9116 0.865392
0.853917  -12.911   0.8654
0.853925 -12.9104   0.8654
0.853933 -12.9098 0.865409
0.853942 -12.9092 0.865409
 0.85395 -12.9086 0.865417
0.853958  -12.908 0.865417
0.853967 -12.9074 0.865425
0.853975 -12.9068 0.865425
0.853983 -12.9062 0.865434
0.853992 -12.9056 0.865434
   0.854 -12.9051 0.865442
0.854008 -12.9045 0.865442
0.854017 -12.9039  0.86545
0.854025 -12.9033  0.86545
0.854033 -12.9027 0.865459
0.854042 -12.9021 0.865459
 0.85405 -12.9015 0.865467
0.854058 -12.9009 0.865475
0.854067 -12.9003 0.865475
0.854075 -12.8997 0.865484
0.854083 -12.8992 0.865484
0.854092 -12.8986 0.865492
  0.8541  -12.898 0.865492
0.854108 -12.8974   0.8655
0.854117 -12.8968   0.8655
0.854125 -12.8962 0.865509
0.854133 -12.8956 0.865509
0.854142  -12.895 0.865517
 0.85415 -12.8944 0.865517
0.854158 -12.8938 0.865525
0.854167 -12.8933 0.865525
0.854175 -12.8927 0.865534
0.854183 -12.8921 0.865534
0.854192 -12.8915 0.865542
  0.8542 -12.8909  0.86555
0.854208 -12.8903  0.86555
0.854217 -12.8897 0.865559
0.854225 -12.8891 0.865559
0.854233 -12.8885 0.865567
0.854242  -12.888 0.865567
 0.85425 -12.8874 0.865575
0.854258 -12.8868 0.865575
0.854267 -12.8862 0.865584
0.854275 -12.8856 0.865584
0.854283  -12.885 0.865592
0.854292 -12.8844 0.865592
  0.8543 -12.8838   0.8656
0.854308 -12.8832   0.8656
0.854317 -12.8826 0.865609
0.854325 -12.8821 0.865609
0.854333 -12.8815 0.865617
0.854342 -12.8809 0.865617
