 kgrid  ValNew  Policy 
    0.55 -50.4764 0.552603
0.551301 -50.2854 0.553904
0.552603 -50.0955 0.553904
0.553904  -49.907 0.555205
0.555205 -49.7207 0.556507
0.556507 -49.5358 0.556507
0.557808  -49.352 0.557808
0.559109 -49.1702 0.559109
 0.56041 -48.9901 0.559109
0.561712 -48.8108  0.56041
0.563013 -48.6334 0.561712
0.564314 -48.4577 0.563013
0.565616 -48.2828 0.563013
0.566917 -48.1095 0.564314
0.568218 -47.9378 0.565616
 0.56952 -47.7674 0.565616
0.570821 -47.5977 0.566917
0.572122 -47.4294 0.568218
0.573423 -47.2625  0.56952
0.574725  -47.097  0.56952
0.576026 -46.9322 0.570821
0.577327 -46.7686 0.572122
0.578629 -46.6064 0.573423
 0.57993 -46.4455 0.574725
0.581231 -46.2852 0.574725
0.582533 -46.1262 0.576026
0.583834 -45.9683 0.577327
0.585135 -45.8118 0.578629
0.586436  -45.656 0.578629
0.587738 -45.5013  0.57993
0.589039 -45.3477 0.581231
 0.59034 -45.1949 0.582533
0.591642 -45.0433 0.583834
0.592943 -44.8922 0.583834
0.594244 -44.7419 0.585135
0.595546 -44.5924 0.586436
0.596847 -44.4439 0.587738
0.598148 -44.2963 0.589039
0.599449 -44.1496  0.59034
0.600751 -44.0035  0.59034
0.602052 -43.8582 0.591642
0.603353 -43.7138 0.592943
0.604655   -43.57 0.594244
0.605956 -43.4271 0.595546
0.607257 -43.2851 0.596847
0.608559 -43.1438 0.596847
 0.60986  -43.003 0.598148
0.611161  -42.863 0.599449
0.612462 -42.7238 0.600751
0.613764 -42.5855 0.602052
0.615065 -42.4479 0.603353
0.616366  -42.311 0.604655
0.617668 -42.1747 0.604655
0.618969 -42.0389 0.605956
 0.62027 -41.9039 0.607257
0.621572 -41.7698 0.608559
0.622873 -41.6363  0.60986
0.624174 -41.5036 0.611161
0.625475 -41.3715 0.612462
0.626777 -41.2399 0.612462
0.628078 -41.1089 0.613764
0.629379 -40.9786 0.615065
0.630681 -40.8489 0.616366
0.631982   -40.72 0.617668
0.633283 -40.5918 0.618969
0.634585 -40.4642  0.62027
0.635886 -40.3371  0.62027
0.637187 -40.2105 0.621572
0.638488 -40.0845 0.622873
 0.63979 -39.9592 0.624174
0.641091 -39.8346 0.625475
0.642392 -39.7106 0.626777
0.643694 -39.5872 0.628078
0.644995 -39.4644 0.628078
0.646296  -39.342 0.629379
0.647598 -39.2201 0.630681
0.648899 -39.0988 0.631982
  0.6502 -38.9782 0.633283
0.651502 -38.8582 0.634585
0.652803 -38.7387 0.635886
0.654104 -38.6199 0.637187
0.655405 -38.5014 0.637187
0.656707 -38.3834 0.638488
0.658008 -38.2659  0.63979
0.659309 -38.1491 0.641091
0.660611 -38.0328 0.642392
0.661912 -37.9172 0.643694
0.663213  -37.802 0.644995
0.664515 -37.6873 0.646296
0.665816 -37.5731 0.646296
0.667117 -37.4593 0.647598
0.668418  -37.346 0.648899
 0.66972 -37.2334   0.6502
0.671021 -37.1212 0.651502
0.672322 -37.0095 0.652803
0.673624 -36.8984 0.654104
0.674925 -36.7878 0.655405
0.676226 -36.6775 0.655405
0.677528 -36.5677 0.656707
0.678829 -36.4584 0.658008
 0.68013 -36.3496 0.659309
0.681431 -36.2413 0.660611
0.682733 -36.1336 0.661912
0.684034 -36.0263 0.663213
0.685335 -35.9195 0.664515
0.686637  -35.813 0.664515
0.687938  -35.707 0.665816
0.689239 -35.6014 0.667117
0.690541 -35.4963 0.668418
0.691842 -35.3917  0.66972
0.693143 -35.2876 0.671021
0.694444  -35.184 0.672322
0.695746 -35.0808 0.673624
0.697047 -34.9779 0.673624
0.698348 -34.8755 0.674925
 0.69965 -34.7735 0.676226
0.700951 -34.6719 0.677528
0.702252 -34.5708 0.678829
0.703554 -34.4702  0.68013
0.704855   -34.37 0.681431
0.706156 -34.2703 0.682733
0.707457 -34.1709 0.682733
0.708759 -34.0718 0.684034
 0.71006 -33.9732 0.685335
0.711361  -33.875 0.686637
0.712663 -33.7773 0.687938
0.713964   -33.68 0.689239
0.715265  -33.583 0.690541
0.716567 -33.4866 0.691842
0.717868 -33.3905 0.691842
0.719169 -33.2947 0.693143
 0.72047 -33.1993 0.694444
0.721772 -33.1043 0.695746
0.723073 -33.0097 0.697047
0.724374 -32.9156 0.698348
0.725676 -32.8218  0.69965
0.726977 -32.7285 0.700951
0.728278 -32.6355 0.700951
 0.72958 -32.5428 0.702252
0.730881 -32.4505 0.703554
0.732182 -32.3585 0.704855
0.733483  -32.267 0.706156
0.734785 -32.1759 0.707457
0.736086 -32.0851 0.708759
0.737387 -31.9948  0.71006
0.738689 -31.9048  0.71006
 0.73999  -31.815 0.711361
0.741291 -31.7256 0.712663
0.742593 -31.6366 0.713964
0.743894  -31.548 0.715265
0.745195 -31.4598 0.716567
0.746496 -31.3719 0.717868
0.747798 -31.2844 0.719169
0.749099 -31.1973 0.719169
  0.7504 -31.1104  0.72047
0.751702 -31.0238 0.721772
0.753003 -30.9376 0.723073
0.754304 -30.8517 0.724374
0.755606 -30.7662 0.725676
0.756907 -30.6811 0.726977
0.758208 -30.5964 0.728278
 0.75951  -30.512  0.72958
0.760811 -30.4278  0.72958
0.762112 -30.3439 0.730881
0.763413 -30.2604 0.732182
0.764715 -30.1772 0.733483
0.766016 -30.0943 0.734785
0.767317 -30.0118 0.736086
0.768619 -29.9297 0.737387
