 kgrid  ValNew  Policy 
     0.55  -20.4581      0.55
 0.550433  -20.3964      0.55
 0.550867   -20.335      0.55
   0.5513  -20.2741      0.55
 0.551734  -20.2136      0.55
 0.552167  -20.1535      0.55
 0.552601  -20.0938      0.55
 0.553034  -20.0345      0.55
 0.553468  -19.9755      0.55
 0.553901   -19.917      0.55
 0.554335  -19.8589      0.55
 0.554768  -19.8011      0.55
 0.555202  -19.7437      0.55
 0.555635  -19.6867      0.55
 0.556069  -19.6301      0.55
 0.556502  -19.5739      0.55
 0.556936   -19.518      0.55
 0.557369  -19.4625      0.55
 0.557803  -19.4073      0.55
 0.558236  -19.3526      0.55
  0.55867  -19.2981      0.55
 0.559103  -19.2441      0.55
 0.559537  -19.1901  0.550433
  0.55997  -19.1364  0.550433
 0.560403  -19.0828  0.550867
 0.560837  -19.0295    0.5513
  0.56127  -18.9763    0.5513
 0.561704  -18.9234  0.551734
 0.562137  -18.8706  0.551734
 0.562571  -18.8181  0.552167
 0.563004  -18.7657  0.552167
 0.563438  -18.7135  0.552601
 0.563871  -18.6615  0.552601
 0.564305  -18.6096  0.553034
 0.564738   -18.558  0.553034
 0.565172  -18.5065  0.553468
 0.565605  -18.4553  0.553468
 0.566039  -18.4042  0.553901
 0.566472  -18.3533  0.553901
 0.566906  -18.3026  0.554335
 0.567339  -18.2521  0.554335
 0.567773  -18.2017  0.554768
 0.568206  -18.1515  0.555202
  0.56864  -18.1015  0.555202
 0.569073  -18.0517  0.555635
 0.569507   -18.002  0.555635
  0.56994  -17.9526  0.556069
 0.570373  -17.9032  0.556069
 0.570807  -17.8541  0.556502
  0.57124  -17.8052  0.556502
 0.571674  -17.7564  0.556936
 0.572107  -17.7078  0.556936
 0.572541  -17.6594  0.557369
 0.572974  -17.6111  0.557369
 0.573408   -17.563  0.557803
 0.573841  -17.5151  0.557803
 0.574275  -17.4673  0.558236
 0.574708  -17.4198  0.558236
 0.575142  -17.3724   0.55867
 0.575575  -17.3252  0.559103
 0.576009   -17.278  0.559103
 0.576442  -17.2311  0.559537
 0.576876  -17.1844  0.559537
 0.577309  -17.1378   0.55997
 0.577743  -17.0913   0.55997
 0.578176  -17.0451  0.560403
  0.57861   -16.999  0.560403
 0.579043   -16.953  0.560837
 0.579476  -16.9073  0.560837
  0.57991  -16.8616   0.56127
 0.580343  -16.8162   0.56127
 0.580777  -16.7709  0.561704
  0.58121  -16.7257  0.561704
 0.581644  -16.6807  0.562137
 0.582077  -16.6359  0.562137
 0.582511  -16.5912  0.562571
 0.582944  -16.5467  0.562571
 0.583378  -16.5023  0.563004
 0.583811  -16.4581  0.563438
 0.584245   -16.414  0.563438
 0.584678  -16.3702  0.563871
 0.585112  -16.3264  0.563871
 0.585545  -16.2828  0.564305
 0.585979  -16.2393  0.564305
 0.586412   -16.196  0.564738
 0.586846  -16.1528  0.564738
 0.587279  -16.1098  0.565172
 0.587713   -16.067  0.565172
 0.588146  -16.0242  0.565605
  0.58858  -15.9817  0.565605
 0.589013  -15.9392  0.566039
 0.589446   -15.897  0.566039
  0.58988  -15.8548  0.566472
 0.590313  -15.8129  0.566472
 0.590747   -15.771  0.566906
  0.59118  -15.7293  0.567339
 0.591614  -15.6877  0.567339
 0.592047  -15.6464  0.567773
 0.592481   -15.605  0.567773
 0.592914  -15.5639  0.568206
 0.593348  -15.5229  0.568206
 0.593781  -15.4821   0.56864
 0.594215  -15.4413   0.56864
 0.594648  -15.4008  0.569073
 0.595082  -15.3603  0.569073
 0.595515    -15.32  0.569507
 0.595949  -15.2798  0.569507
 0.596382  -15.2398   0.56994
 0.596816  -15.1999   0.56994
 0.597249  -15.1601  0.570373
 0.597683  -15.1205  0.570373
 0.598116   -15.081  0.570807
  0.59855  -15.0417  0.570807
 0.598983  -15.0024   0.57124
 0.599416  -14.9633  0.571674
  0.59985  -14.9243  0.571674
 0.600283  -14.8855  0.572107
 0.600717  -14.8468  0.572107
  0.60115  -14.8082  0.572541
 0.601584  -14.7698  0.572541
 0.602017  -14.7315  0.572974
 0.602451  -14.6933  0.572974
 0.602884  -14.6552  0.573408
 0.603318  -14.6173  0.573408
 0.603751  -14.5794  0.573841
 0.604185  -14.5418  0.573841
 0.604618  -14.5042  0.574275
 0.605052  -14.4668  0.574275
 0.605485  -14.4295  0.574708
 0.605919  -14.3923  0.574708
 0.606352  -14.3552  0.575142
 0.606786  -14.3183  0.575142
 0.607219  -14.2815  0.575575
 0.607653  -14.2448  0.576009
 0.608086  -14.2082  0.576009
  0.60852  -14.1718  0.576442
 0.608953  -14.1354  0.576442
 0.609386  -14.0992  0.576876
  0.60982  -14.0631  0.576876
 0.610253  -14.0272  0.577309
 0.610687  -13.9913  0.577309
  0.61112  -13.9556  0.577743
 0.611554    -13.92  0.577743
 0.611987  -13.8844  0.578176
 0.612421  -13.8491  0.578176
 0.612854  -13.8138   0.57861
 0.613288  -13.7787   0.57861
 0.613721  -13.7436  0.579043
 0.614155  -13.7087  0.579043
 0.614588  -13.6739  0.579476
 0.615022  -13.6392  0.579476
 0.615455  -13.6046   0.57991
 0.615889  -13.5702  0.580343
 0.616322  -13.5358  0.580343
 0.616756  -13.5016  0.580777
 0.617189  -13.4674  0.580777
 0.617623  -13.4334   0.58121
 0.618056  -13.3995   0.58121
 0.618489  -13.3657  0.581644
 0.618923   -13.332  0.581644
 0.619356  -13.2984  0.582077
  0.61979   -13.265  0.582077
 0.620223  -13.2316  0.582511
 0.620657  -13.1984  0.582511
  0.62109  -13.1652  0.582944
 0.621524  -13.1322  0.582944
 0.621957  -13.0992  0.583378
 0.622391  -13.0665  0.583378
 0.622824  -13.0337  0.583811
 0.623258  -13.0011  0.583811
 0.623691  -12.9686  0.584245
 0.624125  -12.9362  0.584678
 0.624558  -12.9039  0.584678
 0.624992  -12.8717  0.585112
 0.625425  -12.8396  0.585112
 0.625859  -12.8076  0.585545
 0.626292  -12.7757  0.585545
 0.626726   -12.744  0.585979
 0.627159  -12.7123  0.585979
 0.627593  -12.6807  0.586412
 0.628026  -12.6492  0.586412
 0.628459  -12.6178  0.586846
 0.628893  -12.5866  0.586846
 0.629326  -12.5554  0.587279
  0.62976  -12.5243  0.587279
 0.630193  -12.4933  0.587713
 0.630627  -12.4625  0.587713
  0.63106  -12.4317  0.588146
 0.631494   -12.401  0.588146
 0.631927  -12.3704   0.58858
 0.632361    -12.34  0.589013
 0.632794  -12.3095  0.589013
 0.633228  -12.2793  0.589446
 0.633661   -12.249  0.589446
 0.634095   -12.219   0.58988
 0.634528  -12.1889   0.58988
 0.634962   -12.159  0.590313
 0.635395  -12.1292  0.590313
 0.635829  -12.0995  0.590747
 0.636262  -12.0698  0.590747
 0.636696  -12.0403   0.59118
 0.637129  -12.0109   0.59118
 0.637563  -11.9815  0.591614
 0.637996  -11.9523  0.591614
 0.638429  -11.9231  0.592047
 0.638863   -11.894  0.592047
 0.639296   -11.865  0.592481
  0.63973  -11.8362  0.592481
 0.640163  -11.8073  0.592914
 0.640597  -11.7787  0.592914
  0.64103    -11.75  0.593348
 0.641464  -11.7215  0.593781
 0.641897   -11.693  0.593781
 0.642331  -11.6647  0.594215
 0.642764  -11.6364  0.594215
 0.643198  -11.6082  0.594648
 0.643631  -11.5801  0.594648
 0.644065  -11.5522  0.595082
 0.644498  -11.5242  0.595082
 0.644932  -11.4964  0.595515
 0.645365  -11.4687  0.595515
 0.645799   -11.441  0.595949
 0.646232  -11.4134  0.595949
 0.646666   -11.386  0.596382
 0.647099  -11.3586  0.596382
 0.647533  -11.3312  0.596816
 0.647966   -11.304  0.596816
 0.648399  -11.2769  0.597249
 0.648833  -11.2498  0.597249
 0.649266  -11.2228  0.597683
   0.6497   -11.196  0.597683
 0.650133  -11.1691  0.598116
 0.650567  -11.1424   0.59855
    0.651  -11.1158   0.59855
 0.651434  -11.0892  0.598983
 0.651867  -11.0627  0.598983
 0.652301  -11.0363  0.599416
 0.652734    -11.01  0.599416
 0.653168  -10.9838   0.59985
 0.653601  -10.9576   0.59985
 0.654035  -10.9315  0.600283
 0.654468  -10.9055  0.600283
 0.654902  -10.8796  0.600717
 0.655335  -10.8538  0.600717
 0.655769   -10.828   0.60115
 0.656202  -10.8024   0.60115
 0.656636  -10.7767  0.601584
 0.657069  -10.7512  0.601584
 0.657503  -10.7258  0.602017
 0.657936  -10.7004  0.602017
 0.658369  -10.6751  0.602451
 0.658803  -10.6499  0.602884
 0.659236  -10.6248  0.602884
  0.65967  -10.5997  0.603318
 0.660103  -10.5747  0.603318
 0.660537  -10.5498  0.603751
  0.66097   -10.525  0.603751
 0.661404  -10.5002  0.604185
 0.661837  -10.4755  0.604185
 0.662271  -10.4509  0.604618
 0.662704  -10.4264  0.604618
 0.663138  -10.4019  0.605052
 0.663571  -10.3776  0.605052
 0.664005  -10.3532  0.605485
 0.664438   -10.329  0.605485
 0.664872  -10.3048  0.605919
 0.665305  -10.2808  0.605919
 0.665739  -10.2567  0.606352
 0.666172  -10.2328  0.606352
 0.666606  -10.2089  0.606786
 0.667039  -10.1851  0.606786
 0.667472  -10.1614  0.607219
 0.667906  -10.1377  0.607653
 0.668339  -10.1141  0.607653
 0.668773  -10.0906  0.608086
 0.669206  -10.0671  0.608086
  0.66964  -10.0438   0.60852
 0.670073  -10.0204   0.60852
 0.670507  -9.99722  0.608953
  0.67094  -9.97404  0.608953
 0.671374  -9.95094  0.609386
 0.671807   -9.9279  0.609386
 0.672241  -9.90494   0.60982
 0.672674  -9.88205   0.60982
 0.673108  -9.85922  0.610253
 0.673541  -9.83646  0.610253
 0.673975  -9.81376  0.610687
 0.674408  -9.79115  0.610687
 0.674842  -9.76858   0.61112
 0.675275  -9.74611   0.61112
 0.675709  -9.72367  0.611554
 0.676142  -9.70133  0.611554
 0.676576  -9.67902  0.611987
 0.677009  -9.65682  0.611987
 0.677442  -9.63463  0.612421
 0.677876  -9.61256  0.612854
 0.678309  -9.59051  0.612854
 0.678743  -9.56856  0.613288
 0.679176  -9.54665  0.613288
  0.67961  -9.52483  0.613721
 0.680043  -9.50305  0.613721
 0.680477  -9.48135  0.614155
  0.68091   -9.4597  0.614155
 0.681344  -9.43812  0.614588
 0.681777  -9.41661  0.614588
 0.682211  -9.39515  0.615022
 0.682644  -9.37377  0.615022
 0.683078  -9.35243  0.615455
 0.683511  -9.33118  0.615455
 0.683945  -9.30997  0.615889
 0.684378  -9.28884  0.615889
 0.684812  -9.26775  0.616322
 0.685245  -9.24675  0.616322
 0.685679  -9.22578  0.616756
 0.686112   -9.2049  0.616756
 0.686546  -9.18405  0.617189
 0.686979   -9.1633  0.617623
 0.687412  -9.14256  0.617623
 0.687846  -9.12193  0.618056
 0.688279  -9.10132  0.618056
 0.688713   -9.0808  0.618489
 0.689146  -9.06032  0.618489
  0.68958  -9.03991  0.618923
 0.690013  -9.01955  0.618923
 0.690447  -8.99926  0.619356
  0.69088  -8.97902  0.619356
 0.691314  -8.95884   0.61979
 0.691747  -8.93873   0.61979
 0.692181  -8.91866  0.620223
 0.692614  -8.89866  0.620223
 0.693048  -8.87871  0.620657
 0.693481  -8.85883  0.620657
 0.693915  -8.83899   0.62109
 0.694348  -8.81923   0.62109
 0.694782   -8.7995  0.621524
 0.695215  -8.77986  0.621524
 0.695649  -8.76024  0.621957
 0.696082  -8.74071  0.621957
 0.696516   -8.7212  0.622391
 0.696949  -8.70178  0.622824
 0.697382  -8.68239  0.622824
 0.697816  -8.66308  0.623258
 0.698249   -8.6438  0.623258
 0.698683  -8.62459  0.623691
 0.699116  -8.60543  0.623691
  0.69955  -8.58633  0.624125
 0.699983  -8.56727  0.624125
 0.700417  -8.54828  0.624558
  0.70085  -8.52934  0.624558
 0.701284  -8.51045  0.624992
 0.701717  -8.49162  0.624992
 0.702151  -8.47284  0.625425
 0.702584  -8.45412  0.625425
 0.703018  -8.43544  0.625859
 0.703451  -8.41683  0.625859
 0.703885  -8.39826  0.626292
 0.704318  -8.37976  0.626292
 0.704752  -8.36128  0.626726
 0.705185  -8.34289  0.626726
 0.705619  -8.32452  0.627159
 0.706052  -8.30623  0.627593
 0.706485  -8.28796  0.627593
 0.706919  -8.26977  0.628026
 0.707352  -8.25161  0.628026
 0.707786  -8.23352  0.628459
 0.708219  -8.21546  0.628459
 0.708653  -8.19747  0.628893
 0.709086  -8.17952  0.628893
  0.70952  -8.16163  0.629326
 0.709953  -8.14378  0.629326
 0.710387  -8.12599   0.62976
  0.71082  -8.10824   0.62976
 0.711254  -8.09055  0.630193
 0.711687   -8.0729  0.630193
 0.712121   -8.0553  0.630627
 0.712554  -8.03776  0.630627
 0.712988  -8.02026   0.63106
 0.713421  -8.00282   0.63106
 0.713855  -7.98541  0.631494
 0.714288  -7.96807  0.631494
 0.714722  -7.95076  0.631927
 0.715155  -7.93352  0.631927
 0.715589   -7.9163  0.632361
 0.716022  -7.89916  0.632794
 0.716455  -7.88203  0.632794
 0.716889  -7.86498  0.633228
 0.717322  -7.84795  0.633228
 0.717756    -7.831  0.633661
 0.718189  -7.81406  0.633661
 0.718623   -7.7972  0.634095
 0.719056  -7.78036  0.634095
  0.71949  -7.76359  0.634528
 0.719923  -7.74685  0.634528
 0.720357  -7.73017  0.634962
  0.72079  -7.71353  0.634962
 0.721224  -7.69693  0.635395
 0.721657  -7.68038  0.635395
 0.722091  -7.66388  0.635829
 0.722524  -7.64743  0.635829
 0.722958  -7.63101  0.636262
 0.723391  -7.61465  0.636262
 0.723825  -7.59832  0.636696
 0.724258  -7.58205  0.636696
 0.724692  -7.56581  0.637129
 0.725125  -7.54964  0.637129
 0.725559  -7.53348  0.637563
 0.725992   -7.5174  0.637563
 0.726425  -7.50133  0.637996
 0.726859  -7.48534  0.638429
 0.727292  -7.46936  0.638429
 0.727726  -7.45344  0.638863
 0.728159  -7.43756  0.638863
 0.728593  -7.42173  0.639296
 0.729026  -7.40593  0.639296
  0.72946  -7.39019   0.63973
 0.729893  -7.37448   0.63973
 0.730327  -7.35882  0.640163
  0.73076   -7.3432  0.640163
 0.731194  -7.32762  0.640597
 0.731627  -7.31209  0.640597
 0.732061  -7.29659   0.64103
 0.732494  -7.28115   0.64103
 0.732928  -7.26573  0.641464
 0.733361  -7.25037  0.641464
 0.733795  -7.23504  0.641897
 0.734228  -7.21977  0.641897
 0.734662  -7.20452  0.642331
 0.735095  -7.18933  0.642331
 0.735529  -7.17416  0.642764
 0.735962  -7.15906  0.642764
 0.736395  -7.14397  0.643198
 0.736829  -7.12895  0.643631
 0.737262  -7.11394  0.643631
 0.737696    -7.099  0.644065
 0.738129  -7.08407  0.644065
 0.738563  -7.06921  0.644498
 0.738996  -7.05436  0.644498
  0.73943  -7.03958  0.644932
 0.739863  -7.02482  0.644932
 0.740297  -7.01011  0.645365
  0.74073  -6.99543  0.645365
 0.741164   -6.9808  0.645799
 0.741597   -6.9662  0.645799
 0.742031  -6.95165  0.646232
 0.742464  -6.93713  0.646232
 0.742898  -6.92265  0.646666
 0.743331  -6.90821  0.646666
 0.743765  -6.89381  0.647099
 0.744198  -6.87945  0.647099
 0.744632  -6.86512  0.647533
 0.745065  -6.85085  0.647533
 0.745498  -6.83659  0.647966
 0.745932  -6.82239  0.647966
 0.746365  -6.80821  0.648399
 0.746799  -6.79409  0.648399
 0.747232  -6.77998  0.648833
 0.747666  -6.76594  0.649266
 0.748099  -6.75191  0.649266
 0.748533  -6.73793    0.6497
 0.748966  -6.72398    0.6497
   0.7494  -6.71008  0.650133
 0.749833   -6.6962  0.650133
 0.750267  -6.68237  0.650567
   0.7507  -6.66857  0.650567
 0.751134  -6.65481     0.651
 0.751567  -6.64108     0.651
 0.752001  -6.62739  0.651434
 0.752434  -6.61374  0.651434
 0.752868  -6.60012  0.651867
 0.753301  -6.58655  0.651867
 0.753735    -6.573  0.652301
 0.754168   -6.5595  0.652301
 0.754602  -6.54602  0.652734
 0.755035  -6.53259  0.652734
 0.755468  -6.51918  0.653168
 0.755902  -6.50582  0.653168
 0.756335  -6.49248  0.653601
 0.756769   -6.4792  0.653601
 0.757202  -6.46592  0.654035
 0.757636  -6.45271  0.654035
 0.758069  -6.43951  0.654468
 0.758503  -6.42636  0.654902
 0.758936  -6.41323  0.654902
  0.75937  -6.40015  0.655335
 0.759803  -6.38709  0.655335
 0.760237  -6.37407  0.655769
  0.76067  -6.36108  0.655769
 0.761104  -6.34814  0.656202
 0.761537  -6.33522  0.656202
 0.761971  -6.32234  0.656636
 0.762404  -6.30948  0.656636
 0.762838  -6.29667  0.657069
 0.763271  -6.28389  0.657069
 0.763705  -6.27113  0.657503
 0.764138  -6.25842  0.657503
 0.764572  -6.24573  0.657936
 0.765005  -6.23309  0.657936
 0.765438  -6.22047  0.658369
 0.765872  -6.20789  0.658369
 0.766305  -6.19533  0.658803
 0.766739  -6.18282  0.658803
 0.767172  -6.17033  0.659236
 0.767606  -6.15788  0.659236
 0.768039  -6.14545   0.65967
 0.768473  -6.13307   0.65967
 0.768906   -6.1207  0.660103
  0.76934  -6.10839  0.660537
 0.769773  -6.09608  0.660537
 0.770207  -6.08383   0.66097
  0.77064  -6.07159   0.66097
 0.771074   -6.0594  0.661404
 0.771507  -6.04723  0.661404
 0.771941   -6.0351  0.661837
 0.772374  -6.02299  0.661837
 0.772808  -6.01092  0.662271
 0.773241  -5.99887  0.662271
 0.773675  -5.98686  0.662704
 0.774108  -5.97488  0.662704
 0.774542  -5.96293  0.663138
 0.774975  -5.95102  0.663138
 0.775408  -5.93913  0.663571
 0.775842  -5.92727  0.663571
 0.776275  -5.91544  0.664005
 0.776709  -5.90365  0.664005
 0.777142  -5.89188  0.664438
 0.777576  -5.88015  0.664438
 0.778009  -5.86843  0.664872
 0.778443  -5.85677  0.664872
 0.778876  -5.84511  0.665305
  0.77931   -5.8335  0.665305
 0.779743  -5.82191  0.665739
 0.780177  -5.81036  0.666172
  0.78061  -5.79882  0.666172
 0.781044  -5.78733  0.666606
 0.781477  -5.77585  0.666606
 0.781911  -5.76442  0.667039
 0.782344    -5.753  0.667039
 0.782778  -5.74162  0.667472
 0.783211  -5.73027  0.667472
 0.783645  -5.71894  0.667906
 0.784078  -5.70765  0.667906
 0.784512  -5.69638  0.668339
 0.784945  -5.68514  0.668339
 0.785378  -5.67393  0.668773
 0.785812  -5.66275  0.668773
 0.786245   -5.6516  0.669206
 0.786679  -5.64047  0.669206
 0.787112  -5.62937   0.66964
 0.787546  -5.61831   0.66964
 0.787979  -5.60726  0.670073
 0.788413  -5.59626  0.670073
 0.788846  -5.58526  0.670507
