 kgrid  ValNew  Policy 
    0.55 -38.3984 0.561961
 0.55013 -38.3813 0.562091
 0.55026 -38.3643 0.562091
 0.55039 -38.3473 0.562221
 0.55052 -38.3303 0.562351
 0.55065 -38.3133 0.562351
 0.55078 -38.2963 0.562481
 0.55091 -38.2793 0.562611
 0.55104 -38.2624 0.562611
 0.55117 -38.2455 0.562741
  0.5513 -38.2285 0.562871
 0.55143 -38.2116 0.562871
 0.55156 -38.1947 0.563001
 0.55169 -38.1779 0.563131
 0.55182  -38.161 0.563261
 0.55195 -38.1441 0.563261
 0.55208 -38.1273 0.563391
 0.55221 -38.1105 0.563521
 0.55234 -38.0937 0.563521
 0.55247 -38.0769 0.563651
  0.5526 -38.0601 0.563781
 0.55273 -38.0434 0.563781
 0.55286 -38.0266 0.563911
 0.55299 -38.0099 0.564041
 0.55312 -37.9932 0.564041
 0.55325 -37.9765 0.564171
 0.55338 -37.9598 0.564301
 0.55351 -37.9431 0.564301
 0.55364 -37.9264 0.564431
 0.55377 -37.9098 0.564561
  0.5539 -37.8932 0.564561
 0.55403 -37.8765 0.564691
 0.55416 -37.8599 0.564821
 0.55429 -37.8433 0.564951
 0.55442 -37.8268 0.564951
 0.55455 -37.8102 0.565082
 0.55468 -37.7936 0.565212
 0.55481 -37.7771 0.565212
 0.55494 -37.7606 0.565342
0.555071 -37.7441 0.565472
0.555201 -37.7276 0.565472
0.555331 -37.7111 0.565602
0.555461 -37.6946 0.565732
0.555591 -37.6782 0.565732
0.555721 -37.6618 0.565862
0.555851 -37.6453 0.565992
0.555981 -37.6289 0.565992
0.556111 -37.6125 0.566122
0.556241 -37.5961 0.566252
0.556371 -37.5798 0.566252
0.556501 -37.5634 0.566382
0.556631 -37.5471 0.566512
0.556761 -37.5308 0.566642
0.556891 -37.5144 0.566642
0.557021 -37.4981 0.566772
0.557151 -37.4819 0.566902
0.557281 -37.4656 0.567032
0.557411 -37.4493 0.567032
0.557541 -37.4331 0.567162
0.557671 -37.4168 0.567292
0.557801 -37.4006 0.567292
0.557931 -37.3844 0.567422
0.558061 -37.3682 0.567552
0.558191  -37.352 0.567682
0.558321 -37.3358 0.567682
0.558451 -37.3197 0.567812
0.558581 -37.3035 0.567942
0.558711 -37.2874 0.568072
0.558841 -37.2712 0.568072
0.558971 -37.2551 0.568202
0.559101  -37.239 0.568332
0.559231  -37.223 0.568332
0.559361 -37.2069 0.568462
0.559491 -37.1908 0.568592
0.559621 -37.1748 0.568722
0.559751 -37.1587 0.568722
0.559881 -37.1427 0.568852
0.560011 -37.1267 0.568982
0.560141 -37.1107 0.568982
0.560271 -37.0947 0.569112
0.560401 -37.0787 0.569242
0.560531 -37.0628 0.569372
0.560661 -37.0468 0.569372
0.560791 -37.0309 0.569502
0.560921 -37.0149 0.569632
0.561051  -36.999 0.569762
0.561181 -36.9831 0.569762
0.561311 -36.9672 0.569892
0.561441 -36.9513 0.570022
0.561571 -36.9355 0.570152
0.561701 -36.9196 0.570152
0.561831 -36.9038 0.570282
0.561961  -36.888 0.570412
0.562091 -36.8721 0.570412
0.562221 -36.8563 0.570542
0.562351 -36.8405 0.570672
0.562481 -36.8248 0.570802
0.562611  -36.809 0.570802
0.562741 -36.7932 0.570932
0.562871 -36.7775 0.571062
0.563001 -36.7618 0.571192
0.563131  -36.746 0.571192
0.563261 -36.7303 0.571322
0.563391 -36.7146 0.571452
0.563521 -36.6989 0.571582
0.563651 -36.6833 0.571582
0.563781 -36.6676 0.571712
0.563911 -36.6519 0.571842
0.564041 -36.6363 0.571842
0.564171 -36.6207 0.571972
0.564301 -36.6051 0.572102
0.564431 -36.5895 0.572232
0.564561 -36.5739 0.572232
0.564691 -36.5583 0.572362
0.564821 -36.5427 0.572492
0.564951 -36.5272 0.572622
0.565082 -36.5116 0.572622
0.565212 -36.4961 0.572752
0.565342 -36.4806 0.572882
0.565472 -36.4651 0.573012
0.565602 -36.4496 0.573012
0.565732 -36.4341 0.573142
0.565862 -36.4186 0.573272
0.565992 -36.4031 0.573272
0.566122 -36.3877 0.573402
0.566252 -36.3723 0.573532
0.566382 -36.3568 0.573662
0.566512 -36.3414 0.573662
0.566642  -36.326 0.573792
0.566772 -36.3106 0.573922
0.566902 -36.2952 0.574052
0.567032 -36.2799 0.574052
0.567162 -36.2645 0.574182
0.567292 -36.2492 0.574312
0.567422 -36.2338 0.574442
0.567552 -36.2185 0.574442
0.567682 -36.2032 0.574572
0.567812 -36.1879 0.574702
0.567942 -36.1726 0.574832
0.568072 -36.1573 0.574832
0.568202  -36.142 0.574962
0.568332 -36.1268 0.575093
0.568462 -36.1116 0.575093
0.568592 -36.0963 0.575223
0.568722 -36.0811 0.575353
0.568852 -36.0659 0.575483
0.568982 -36.0507 0.575483
0.569112 -36.0355 0.575613
0.569242 -36.0203 0.575743
0.569372 -36.0052 0.575873
0.569502   -35.99 0.575873
0.569632 -35.9749 0.576003
0.569762 -35.9597 0.576133
0.569892 -35.9446 0.576263
0.570022 -35.9295 0.576263
0.570152 -35.9144 0.576393
0.570282 -35.8993 0.576523
0.570412 -35.8842 0.576653
0.570542 -35.8692 0.576653
0.570672 -35.8541 0.576783
0.570802 -35.8391 0.576913
0.570932 -35.8241 0.576913
0.571062  -35.809 0.577043
0.571192  -35.794 0.577173
0.571322  -35.779 0.577303
0.571452  -35.764 0.577303
0.571582 -35.7491 0.577433
0.571712 -35.7341 0.577563
0.571842 -35.7192 0.577693
0.571972 -35.7042 0.577693
0.572102 -35.6893 0.577823
