 kgrid  ValNew  Policy 
      0.55   -5.61801       0.55
  0.551301   -5.54171       0.55
  0.552603   -5.46673       0.55
  0.553904   -5.39303       0.55
  0.555205    -5.3206       0.55
  0.556507    -5.2494       0.55
  0.557808    -5.1794       0.55
  0.559109   -5.11059       0.55
   0.56041   -5.04294       0.55
  0.561712   -4.97642       0.55
  0.563013   -4.91101       0.55
  0.564314    -4.8467       0.55
  0.565616   -4.78345       0.55
  0.566917   -4.72125       0.55
  0.568218   -4.66007       0.55
   0.56952    -4.5999       0.55
  0.570821   -4.54072       0.55
  0.572122    -4.4825       0.55
  0.573423   -4.42522       0.55
  0.574725   -4.36888       0.55
  0.576026   -4.31344       0.55
  0.577327    -4.2589       0.55
  0.578629   -4.20523       0.55
   0.57993   -4.15241       0.55
  0.581231   -4.10044       0.55
  0.582533    -4.0493       0.55
  0.583834   -3.99896       0.55
  0.585135   -3.94942       0.55
  0.586436   -3.90065       0.55
  0.587738   -3.85265       0.55
  0.589039   -3.80539       0.55
   0.59034   -3.75888       0.55
  0.591642   -3.71308       0.55
  0.592943   -3.66799       0.55
  0.594244   -3.62359       0.55
  0.595546   -3.57988       0.55
  0.596847   -3.53683       0.55
  0.598148   -3.49445       0.55
  0.599449    -3.4527       0.55
  0.600751   -3.41159       0.55
  0.602052    -3.3711       0.55
  0.603353   -3.33121       0.55
  0.604655   -3.29193       0.55
  0.605956   -3.25323       0.55
  0.607257   -3.21511       0.55
  0.608559   -3.17756       0.55
   0.60986   -3.14056       0.55
  0.611161   -3.10411       0.55
  0.612462    -3.0682       0.55
  0.613764   -3.03281       0.55
  0.615065   -2.99794       0.55
  0.616366   -2.96358       0.55
  0.617668   -2.92972       0.55
  0.618969   -2.89635       0.55
   0.62027   -2.86346       0.55
  0.621572   -2.83105       0.55
  0.622873    -2.7991       0.55
  0.624174    -2.7676       0.55
  0.625475   -2.73656       0.55
  0.626777   -2.70596       0.55
  0.628078   -2.67579       0.55
  0.629379   -2.64605       0.55
  0.630681   -2.61673       0.55
  0.631982   -2.58782       0.55
  0.633283   -2.55931       0.55
  0.634585   -2.53121       0.55
  0.635886   -2.50349       0.55
  0.637187   -2.47616       0.55
  0.638488   -2.44921       0.55
   0.63979   -2.42263       0.55
  0.641091   -2.39641       0.55
  0.642392   -2.37056       0.55
  0.643694   -2.34506       0.55
  0.644995   -2.31991       0.55
  0.646296    -2.2951       0.55
  0.647598   -2.27062       0.55
  0.648899   -2.24648       0.55
    0.6502   -2.22266       0.55
  0.651502   -2.19916       0.55
  0.652803   -2.17598       0.55
  0.654104   -2.15311       0.55
  0.655405   -2.13054       0.55
  0.656707   -2.10828       0.55
  0.658008    -2.0863       0.55
  0.659309   -2.06462       0.55
  0.660611   -2.04323       0.55
  0.661912   -2.02211       0.55
  0.663213   -2.00127       0.55
  0.664515   -1.98071       0.55
  0.665816   -1.96041       0.55
  0.667117   -1.94038       0.55
  0.668418    -1.9206       0.55
   0.66972   -1.90108       0.55
  0.671021   -1.88182       0.55
  0.672322    -1.8628       0.55
  0.673624   -1.84402       0.55
  0.674925   -1.82549       0.55
  0.676226   -1.80719       0.55
  0.677528   -1.78912       0.55
  0.678829   -1.77128       0.55
   0.68013   -1.75367       0.55
  0.681431   -1.73628       0.55
  0.682733   -1.71911       0.55
  0.684034   -1.70216       0.55
  0.685335   -1.68541       0.55
  0.686637   -1.66888       0.55
  0.687938   -1.65255       0.55
  0.689239   -1.63642       0.55
  0.690541   -1.62049       0.55
  0.691842   -1.60476       0.55
  0.693143   -1.58923       0.55
  0.694444   -1.57388       0.55
  0.695746   -1.55872       0.55
  0.697047   -1.54375       0.55
  0.698348   -1.52896       0.55
   0.69965   -1.51435       0.55
  0.700951   -1.49992       0.55
  0.702252   -1.48566       0.55
  0.703554   -1.47157       0.55
  0.704855   -1.45765       0.55
  0.706156    -1.4439       0.55
  0.707457   -1.43032       0.55
  0.708759   -1.41689       0.55
   0.71006   -1.40363       0.55
  0.711361   -1.39052       0.55
  0.712663   -1.37757       0.55
  0.713964   -1.36477       0.55
  0.715265   -1.35212       0.55
  0.716567   -1.33963       0.55
  0.717868   -1.32727       0.55
  0.719169   -1.31506       0.55
   0.72047     -1.303       0.55
  0.721772   -1.29107       0.55
  0.723073   -1.27929       0.55
  0.724374   -1.26764       0.55
  0.725676   -1.25612       0.55
  0.726977   -1.24474       0.55
  0.728278   -1.23349       0.55
   0.72958   -1.22236       0.55
  0.730881   -1.21137       0.55
  0.732182    -1.2005       0.55
  0.733483   -1.18975       0.55
  0.734785   -1.17912       0.55
  0.736086   -1.16862       0.55
  0.737387   -1.15823       0.55
  0.738689   -1.14796       0.55
   0.73999   -1.13781       0.55
  0.741291   -1.12777       0.55
  0.742593   -1.11784       0.55
  0.743894   -1.10803       0.55
  0.745195   -1.09832       0.55
  0.746496   -1.08872       0.55
  0.747798   -1.07923       0.55
  0.749099   -1.06984       0.55
    0.7504   -1.06056       0.55
